ACCE_ABSORB_COST	Aufnahmepreis: %d
PET_CAN_NOT_FEED_SPLIT_ITEM	Du kannst keinen geteilten Gegenstand in dieses Fenster legen.
PET_CAN_NOT_FEED_TYPE	Auf diese Art kannst du dein Pet leider nicht füttern. Versuche es bitte mit einer anderen Aktion.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Um das Pet zu trainieren und auf die nächste Entwicklungsstufe zu heben, muss es Level %d haben.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Um das Pet zu trainieren und auf die nächste Entwicklungsstufe zu heben, muss es 100% Erfahrung haben.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Dein Pet hat bereits die höchste Entwicklungsstufe erreicht.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Du kannst keinen privaten Laden öffnen, wenn du dein Pet gerufen hast.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Um das Pet zu trainieren und auf die nächste Entwicklungsstufe zu heben, muss es %d Tage alt sein.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Du kannst dein Pet nicht rufen, da die Laufzeit bereits abgelaufen ist.
PET_CAN_NOT_USE_BAG	Du kannst die Transportbox nicht verwenden, weil dein Pet bereits abgelaufen ist.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Das Pet besitzt keine Fertigkeiten zum Zurücksetzen.
PET_HATCHING_ACCEPT	Möchtest du dein Pet "%s" nennen?
PET_HATCHING_MONEY	Preis: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Wenn der Brutkasten geöffnet ist, kannst du keine Interaktionen durchführen.
PET_INFORMATION_STAGE1	Jung
PET_INFORMATION_STAGE2	Wild
PET_INFORMATION_STAGE3	Tapfer
PET_INFORMATION_STAGE4	Heroisch
PET_INFO_EXP	Aktuelle Erfahrung:
PET_INFO_ITEM_EXP	Aktuelle Item EXP
PET_INFO_NEXT_EXP	Verbleibende Erfahrung:
PET_INFO_NEXT_ITEM_EXP	Verbleibende Item EXP
PET_MSG_NOT_ENOUGH_MONEY	Du hast nicht genügend Yang.
PET_NAME_CHANGE_ACCEPT	Möchtest du den Namen deines Pets in "%s" ändern?
PET_NAME_MIN	Der eingegebene Name ist zu kurz.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Es gibt kein Pet zum Wiederbeleben.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	Du hast nicht genügend Material.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Die Fertigkeiten sind jetzt verfügbar.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	Das Zurücksetzen der Fertigkeit(en) deines Pets ist unwiderruflich.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Möchtest du fortfahren?
PET_SKILL_LEARN_FAIL_CONDITIONS	Dein Pet ist nicht alt genug oder besitzt nicht die erforderliche Stufe. Nur Heldenpets können Fertigkeiten erlernen.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Möchtest du das Heldentraining mit "%s" beginnen?
PET_SKILL_TOOLTIP_COOLTIME	Abklingzeit: %d Sekunden
PET_SKILL_TOOLTIP_DURATION	Dauer: %d Sekunden
PET_SKILL_TOOLTIP_FEATHER	Das Pet aktiviert Federschreiten mit einer Chance von %d%% für %.1f Sekunden.\n Angriff %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	Wenn deine TP unter 20%% sinkt, erhältst du eine \n %d%% Chance, die TP um %d zu erhöhen.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Dein Charakter wird mit einer %d%% Chance unbesiegbar,\n wenn deine TP unter 10%% sinkt. \n Dauer des Effekts: %.1f Sekunden.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Entfernt sofort alle Effekte wie Gift, Verlangsamung \n oder Blutung mit einer %d%% Chance,\n wenn dein Charakter betroffen ist.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Heldentraining auf die nächste Stufe heben?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Kosten: %s
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Verteidigung
PET_TOOLTIP_HP	TP
PET_TOOLTIP_LEVEL	Level
PET_TOOLTIP_LIFETIME_OVER	Abgelaufen
PET_TOOLTIP_SKILL_BONUS_VALUE	im Heldentraining
PET_TOOLTIP_SKILL_CUR_LEVEL	Level: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Nächstes Level: %d (max. %d)
PET_TOOLTIP_SP	MP
PET_TOOLTIP_TRADABLE	Handelbar
PET_TOOLTUP_SKILL	%s (Stufe %d)
PICK_ITEM_TITLE	Gegenstandsnr.
PICK_MONEY_TITLE	Betrag
PRIVATESHOPSEARCH_ABLITY_POTION	Tau
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Feines Tuch
PRIVATESHOPSEARCH_ARMOR	Ausrüstung
PRIVATESHOPSEARCH_ARROW	Pfeile
PRIVATESHOPSEARCH_BELL	Glocken
PRIVATESHOPSEARCH_BELT	Gürtel
PRIVATESHOPSEARCH_BLEND	Tränke
PRIVATESHOPSEARCH_BLOOD_PEARL	Blutrote Perle
PRIVATESHOPSEARCH_BLUE_PEARL	Blaue Perle
PRIVATESHOPSEARCH_BODY	Rüstungen
PRIVATESHOPSEARCH_BOW	Bogen
PRIVATESHOPSEARCH_BUYTIME	Möchtest du den ausgewählten Gegenstand kaufen?
PRIVATESHOPSEARCH_CLAW	Krallen
PRIVATESHOPSEARCH_CLEAR_POTION	Elixiere
PRIVATESHOPSEARCH_COSTUME	Kostüme
PRIVATESHOPSEARCH_COSTUMEBODY	Kostüm
PRIVATESHOPSEARCH_COSTUMEHAIR	Frisur
PRIVATESHOPSEARCH_COSTUME_ACCE	Schulterbänder
PRIVATESHOPSEARCH_COSTUME_MOUNT	Mount
PRIVATESHOPSEARCH_CRYSTAL	Kristall
PRIVATESHOPSEARCH_DAGGER	Dolche
PRIVATESHOPSEARCH_DEAD	tot
PRIVATESHOPSEARCH_DETACHMENT	Stein-Handbuch
PRIVATESHOPSEARCH_DIAMOND	Diamant
PRIVATESHOPSEARCH_DS	Drachensteinalchemie
PRIVATESHOPSEARCH_DS_BLACK	Onyx
PRIVATESHOPSEARCH_DS_BLUE	Saphir
PRIVATESHOPSEARCH_DS_GREEN	Jade
PRIVATESHOPSEARCH_DS_RED	Rubin
PRIVATESHOPSEARCH_DS_WHITE	Diamant
PRIVATESHOPSEARCH_DS_YELLOW	Granat
PRIVATESHOPSEARCH_EAR	Ohrringe
PRIVATESHOPSEARCH_FAN	Fächer
PRIVATESHOPSEARCH_FISH	Fische
PRIVATESHOPSEARCH_FOOTS	Schuhe
PRIVATESHOPSEARCH_GEM	Edelsteine
PRIVATESHOPSEARCH_GIFTBOX	Geschenkboxen
PRIVATESHOPSEARCH_HEAD	Helme
PRIVATESHOPSEARCH_LIVE	lebendig
PRIVATESHOPSEARCH_MATERIAL	Materialien
PRIVATESHOPSEARCH_METIN	Geiststeine
PRIVATESHOPSEARCH_NECK	Halsketten
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Du kannst ohne das richtige Bündel keine Gegenstände kaufen.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Du kannst ohne das richtige Bündel keine Gegenstände suchen.
PRIVATESHOPSEARCH_NODELAY_POTION	HP Gegenstände
PRIVATESHOPSEARCH_ORE	Erz
PRIVATESHOPSEARCH_PET	Petsystem
PRIVATESHOPSEARCH_PETAGG	Pet-Eier
PRIVATESHOPSEARCH_PETSKILLBOOK	Pet-Fertigkeitsbücher
PRIVATESHOPSEARCH_PICK	Spitzhacken
PRIVATESHOPSEARCH_POTION	Tränke
PRIVATESHOPSEARCH_QUEST	Quest
PRIVATESHOPSEARCH_QUIVER	Pfeilköcher
PRIVATESHOPSEARCH_RESOURCE	Gegenstandsverbesserung
PRIVATESHOPSEARCH_ROD	Angeln
PRIVATESHOPSEARCH_SELECTITEM	Gegenstand ausgewählt
PRIVATESHOPSEARCH_SHIELD	Schilde
PRIVATESHOPSEARCH_SKILLBOOK	Fertigkeitsbücher
PRIVATESHOPSEARCH_SKILLFORGET	Buch des Vergessens
PRIVATESHOPSEARCH_SPECIAL	Sonstiges
PRIVATESHOPSEARCH_STONE	Energiesplitter
PRIVATESHOPSEARCH_SWORD	Einhandschwerter
PRIVATESHOPSEARCH_TREASUREBOX	Truhen
PRIVATESHOPSEARCH_TUNING	Schriftrollen
PRIVATESHOPSEARCH_TWOSWORD	Zweihandschwerter
PRIVATESHOPSEARCH_UNIQUE	Einzigartig
PRIVATESHOPSEARCH_USEITEM	Verbrauchsgegenstände
PRIVATESHOPSEARCH_USESPECIAL	Sonstiges
PRIVATESHOPSEARCH_WEAPON	Waffen
PRIVATESHOPSEARCH_WHITE_PEARL	Weiße Perle
PRIVATESHOPSEARCH_WRIST	Armbänder
PRIVATE_SHOP_CANNOT_SELL_ITEM	Du kannst diesen Gegenstand nicht in einem privaten Laden verkaufen.
PRIVATE_SHOP_CLOSE_QUESTION	Möchtest du den privaten Laden schließen?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Name des privaten Ladens
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Preis
PRIVATE_SHOP_SEARCH_VNUM_ITEM_NOT_FOUND	Kein Ergebnis gefunden.
PRIVATE_SHOP_SEARCH_VNUM_ITEM_NOT_SELECTED	Wähle ein Item, um zu suchen.
PVP_LEVEL0	Ritterlich
PVP_LEVEL1	Edel
PVP_LEVEL2	Gut
PVP_LEVEL3	Freundlich
PVP_LEVEL4	Neutral
PVP_LEVEL5	Aggressiv
PVP_LEVEL6	Arglistig
PVP_LEVEL7	Bösartig
PVP_LEVEL8	Grausam
PVP_MODE_GUILD	PvP - Gilde aktiviert
PVP_MODE_KILL	PvP - Frei aktiviert
PVP_MODE_NORMAL	PvP - Frieden aktiviert
PVP_MODE_PROTECT	PvP - Schutz aktiviert
PVP_MODE_REVENGE	PvP - Feindlich aktiviert
PVP_OPTION_KILL	Frei
PVP_OPTION_NORMAL	Frieden
PVP_OPTION_PROTECT	Schutz
PVP_OPTION_REVENGE	Feindlich
PVP_TOURNAMENT_DO_NOT_AUTO	Automatisch angreifen kannst du während des PvP-Turniers nicht nutzen.
QUEST_APPEND	Neuer Auftrag wurde erfasst.
QUEST_HOUR	Stunde(n)
QUEST_MIN	Min.
QUEST_SEC	Sek.
QUEST_TIMEOVER	Zeit abgelaufen
QUEST_UNLIMITED_TIME	Keine Zeitbeschränkung
QUEST_ZEROSEC	0 Sek.
QUICKSLOT_REGISTER_DISABLE_ITEM	Dieser Gegenstand kann nicht zum Schnellzugriffsfeld hinzugefügt werden.
RANKING	Rang
RANKING_BOARD_MEMBER	Mitglieder
RECEIVE_MESSAGE	%s hat dir eine Nachricht gesendet.
REFINE_COST	Verbesserungskosten: %d Yang
REFINE_DESTROY_WARNING	Der Gegenstand könnte beim Veredeln zerstört werden.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Möchtest du den Gegenstand wirklich upgraden?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Bei einem Fehlschlag wird der Gegenstand zerstört. Möchtest du fortfahren?
REFINE_DOWN_GRADE_WARNING	Der Gegenstand könnte beim Veredeln schlechter werden.
REFINE_DO_YOU_SEPARATE_METIN	Alle vorhandenen Geiststeine entfernen?
REFINE_ELEMENT_CHANGE_TEXT	%s hat nun das Element %s!
REFINE_ELEMENT_DOWNGRADE_TEXT	Die Stufe der Elementarverzauberung wurde verringert.
REFINE_ELEMENT_EXIST	Der Gegenstand besitzt bereits ein anderes Element.
REFINE_ELEMENT_GRADE_MAX	Die maximale Stufe der Elementarverzauberung wurde bereits erreicht.
REFINE_ELEMENT_NOT_ENOUGHT_GRADE	Die Elementarverzauberung ist nur für +7 Waffen oder höher verfügbar.
REFINE_ELEMENT_NOT_ENOUGHT_YANG	Nicht genügend Yang.
REFINE_ELEMENT_NOT_EXSIT	Kann nicht mit diesem Gegenstand verwendet werden.
REFINE_ELEMENT_TEXT_DARK	Kraft der Dunkelheit +%d
REFINE_ELEMENT_TEXT_EARTH	Kraft der Erde +%d
REFINE_ELEMENT_TEXT_ELECT	Kraft der Blitze +%d
REFINE_ELEMENT_TEXT_FIRE	Kraft des Feuers +%d
REFINE_ELEMENT_TEXT_ICE	Kraft des Eises +%d
REFINE_ELEMENT_TEXT_WIND	Kraft des Windes +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	Elementarverzauberung fehlgeschlagen.
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	Elementarverzauberung erfolgreich!
REFINE_FAILURE	Tja, hat nicht geklappt! Wir haben versagt.
REFINE_FAILURE_CAN_NOT_ATTACH	%s kann diesem Gegenstand nicht beigefügt werden.
REFINE_FAILURE_DEL_ITEM	Die Veredelung ist fehlgeschlagen. Der Gegenstand wurde zerstört.
REFINE_FAILURE_EQUIP_ITEM	Du kannst keine ausgerüsteten Gegenstände verbessern.
REFINE_FAILURE_GRADE_DOWN	Die Veredelung ist fehlgeschlagen. Der Grad des Gegenstands wurde gemindert.
REFINE_FAILURE_KEEP_GRADE	Die Veredelung ist fehlgeschlagen.\nGlücklicherweise bleibt dein Gegenstand erhalten.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Es kann kein Geiststein entfernt werden.
REFINE_FAILURE_NEED_BETTER_SCROLL	Du benötigst eine bessere Verbesserungsschriftrolle.
REFINE_FAILURE_NO_GOLD_SOCKET	Es gibt keine Goldfassung, um %s beizufügen.
REFINE_FAILURE_NO_MORE_SOCKET	Du kannst keine weiteren Fassungen hinzufügen.
REFINE_FAILURE_NO_SOCKET0	Es gibt keine freie Fassung für den %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Auf diesem Gegenstand können keine Fassungen hinzugefügt werden.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Dieser Gegenstand kann nicht verbessert werden.
REFINE_QUESTION_CONFIRM	Möchtest du fortfahren?
REFINE_QUESTION_WARNING_DOWN_GRADE_AND_REFIX_REMOVE	Falls die Aufwertung fehlschlägt, sinkt die Stufe unter den Mindestwert für Set-Effekte und der Set-Effekt wird dadurch entfernt.
REFINE_QUESTION_WARNING_PREFIX_REMOVE	Wenn du das Item aufwertest, wird der Set-Effekt entfernt.
REFINE_SUCCESS	Die Gegenstandsverbesserung war erfolgreich.
REFINE_SUCCESS_PROBALITY	Verbesserungschance: %d%%
REFINE_WARNING2	Möchtest du fortfahren?
RESTART_POPUP_GIVEUP_ELEMENTAL_DUNGEON	Du bist gestorben. \nKehre aus der Elementarwelt zurück!
RESTART_POPUP_GIVEUP_MIST_ISLAND	Du bist in der Schlacht der fünf Schreine gefallen.\n Du kehrst nun ins Dorf zurück.
RESTART_POPUP_GIVEUP_SUNGMAHEE_TOWER	Eine bittere Niederlage! Dein Weg ist hier zuende.
REVIVE_QUESTION	Möchtest du %s wiederbeleben? Anzahl Prismen des Erwachens: %d
REVIVE_SELF_QUESTION	Möchtest du Wiederbeleben ausführen? Anzahl Prismen des Erwachens: %d
ROULETTE_REWARD_TEXT	Gegenstand erhalten
SAFEBOX_ERROR	Du hast das falsche Kennwort eingegeben.
SAFEBOX_NEED_CHANGE_PASSWORD	Dein Passwort ist abgelaufen.\nWähle bitte ein neues.
SAFEBOX_SELL_DISABLE_SAFEITEM	Du kannst keine der gespeicherten Gegenstände verkaufen.
SAFEBOX_UNAVILABLE_PASSWORD_01	Du kannst dieses Passwort nicht verwenden.
SAFEBOX_UNAVILABLE_PASSWORD_02	Dein Passwort sollte aus mindestens %d Zeichen bestehen.
SAFEBOX_UNAVILABLE_PASSWORD_03	Du hast dein aktuelles Passwort eingegeben. Bitte wähle ein neues.
SAFEBOX_UNAVILABLE_PASSWORD_04	Dein Passwort kann nicht %d gleiche oder direkt aufeinanderfolgende Zahlen enthalten.
SAFEBOX_UNAVILABLE_PASSWORD_05	Keine Sonderzeichen gestattet. Erlaubte Zeichen: a-z, A-Z, 0-9
SAFEBOX_WRONG_PASSWORD	Die Kennwörter müssen identisch sein.
SCREENSHOT_SAVE1	ist gespeichert in
SCREENSHOT_SAVE2	Screenshot-Ordner
SCREENSHOT_SAVE_FAILURE	Speichern des Screenshots fehlgeschlagen.
SECOND	Sek
SECOND_CONFIRM_PET_FEED_QUESTION_1	Dein Gegenstand besitzt %d oder mehr Boni.
SECOND_CONFIRM_PET_FEED_QUESTION_2	Bist du sicher, dass du ihn deinem Pet verfüttern möchtest?
SECOND_CONFIRM_SELL_ITEM_QUESTION_1	Dein Gegenstand besitzt %d oder mehr Boni.
SECOND_CONFIRM_SELL_ITEM_QUESTION_2	Bist du sicher, dass du ihn verkaufen möchtest?
SELECT_ATTR_NOTICE	Du kannst keinen privaten Laden öffnen, während du Gegenstand verzaubern+ verwendest.
SELECT_ATTR_NOT_OPEN	Du kannst Gegenstand verzaubern+ nicht verwenden, wenn du einen privaten Laden geöffnet hast.
SELECT_ATTR_NOT_SELECT	Entscheide dich, ob du die Boni behalten oder austauschen möchtest.
SELECT_CAN_NOT_DELETE	Du kannst den Charakter nicht löschen.
SELECT_CAN_NOT_DELETE_ATTR67	Du kannst deinen Charakter nicht löschen,\n während ein Bonus hinzugefügt wird.
SELECT_CAN_NOT_DELETE_GUILD_MEMBER	Du kannst deinen Charakter nicht löschen, solange er Mitglied in einer Gilde ist.
SELECT_CAN_NOT_DELETE_HAVE_SEALED_ITEM	Du kannst deinen Charakter nicht löschen, da er seelengebundene Items besitzt.
SELECT_CAN_NOT_DELETE_LAST_CHAR_SAFEBOX	Du kannst deinen einzigen Charakter nicht löschen, da sich noch Items in deinem Lager befinden.
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	Du kannst deinen Charakter nur bis maximal Level 69 löschen.
SELECT_CAN_NOT_DELETE_MARRIAGE	Du kannst keinen verheirateten Charakter löschen.
SELECT_CAN_NOT_DELETE_PRIVATE_CODE_ERROR	Der Lösch-Code war nicht korrekt.
SELECT_CAN_NOT_DELETE_REMAIN_TIME	Du kannst diesen Charakter nicht direkt nach seiner Erstellung löschen. Wartezeit: %s
SELECT_CHANGED_NAME	Du hast den Namen des Charakters geändert.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Der Charaktername existiert bereits.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Versuche es erneut.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Dies ist der falsche Charaktername.
SELECT_CHANGE_NAME_TITLE	Charakternamen ändern
SELECT_DELEING	Löschung wird gestartet ...
SELECT_DELETED	Löschung erfolgreich.
SELECT_DO_YOU_DELETE_REALLY	Möchtest du fortfahren?
SELECT_EMPTY_SLOT	Dies ist ein leeres Feld.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Gib einen neuen Charakternamen ein.
SELECT_NOT_JOIN_GUILD	Keine Gilde
SERVER_NOTIFY_CLOSED	Geschlossener Server: Nur Accounts, die vor der Schließung erstellt wurden, haben Zutrittsrecht.
SERVER_STATUS_CLOSE	GESCHLOSSEN
SERVER_STATUS_NEW	NEU
SERVER_STATUS_SPECIAL	SPEZIAL
SERVER_STATUS_STANDBY	GESCHLOSSEN
SET_ITEM_CLEAR_CONFIRM_QUESTION	Möchtest du den Set-Effekt entfernen?
SET_ITEM_CLEAR_CONFIRM_QUESTION_1	Dieses Item besitzt %d Boni/Geiststeine.
SET_ITEM_CLEAR_CONFIRM_QUESTION_2	Bist du sicher?
SET_ITEM_DO_NOT_EQUIP_ITEM	Ausgerüsteten Gegenständen kannst du keine Set-Effekte verleihen.
SET_ITEM_DO_NOT_SEAL_ITEM	Das kannst du nicht mit einem seelengebundenen Gegenstand tun.
SHOP_BUY_INFO	Wähle im Ladenfenster den Gegenstand aus, den du kaufen möchtest.
SHOP_CANNOT_SELL_EQUIPMENT	Du kannst ausgerüstete Gegenstände nicht verkaufen.
SHOP_CANNOT_SELL_ITEM	Dieser Gegenstand ist nicht zu verkaufen.
SHOP_ERROR_UNKNOWN	Unbekannter Ladenfehler: %s
SHOP_EXCEED_LIMIT_TODAY	Du hast dein Tageslimit für die Punkte-Nutzung bereits überschritten.
SHOP_INVALID_POS	Dieser Gegenstand ist ungeeignet.
SHOP_INVENTORY_FULL	Im Inventar ist kein Platz mehr.
SHOP_LIMITED_DATA_LOADING	Die Daten werden gerade geladen. Versuche es später noch einmal.
SHOP_LIMITED_ITEM_REMAIN_COUNT	Verbleibende Gegenstände: %d
SHOP_LIMITED_PURCHASE_OVER	Ausverkauft
SHOP_LIMIT_TODAY	Tageslimit: %d / %d
SHOP_MY_BATTLE_POINT	Kampfpunkte: %d
SHOP_MY_MEDAL_OF_HONOR	Tapferkeitsmedaille: %d
SHOP_NOT_ENOUGH_10TH_COIN	Du besitzt nicht genügend Jubiläumsmünzen.
SHOP_NOT_ENOUGH_BATTLE_POINT	Du hast nicht genug Kampfpunkte.
SHOP_NOT_ENOUGH_BNW	Du hast nicht genügend Sehermünzen.
SHOP_NOT_ENOUGH_GUILD_LEVEL	Gildenlevel ist zu niedrig.
SHOP_NOT_ENOUGH_MEDAL_OF_HONOR	Nicht genügend Tapferkeitsmedaillen.
SHOP_NOT_ENOUGH_MONEY	Nicht genug Won oder Yang
SHOP_NOT_ENOUGH_MONEY_EX	Du hast nicht genügend Yang.
SHOP_SELL_INFO	Wähle in deinem Inventarfenster den Gegenstand aus, den du verkaufen möchtest.
SHOP_SOLDOUT	Ausverkauft
SHOT_ERROR_UNKNOWN	Unbekannter Fehler beim Fernangriff: %s
SKILL_BLEEDING	Bluten
SKILL_BOHO	Reflektieren
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Du benötigst EXP, um diese Fertigkeit zu erlernen.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Du benötigst ein Buch, um diese Fertigkeit zu erlernen.
SKILL_CHEONGEUN	Starker Körper
SKILL_CRITICAL	Kritischer Treffer
SKILL_ENCHANT_POISON	Gift benutzen
SKILL_EUNHYEONG	Unsichtbar
SKILL_FAINT	Ohnmacht
SKILL_FIND_TRAP	Falle suchen
SKILL_FIRE	Verbrennen
SKILL_FISHMIND	Fischkugel ist aktiv
SKILL_GAMJI	Erfassen
SKILL_GEOMGYEONG	Aura des Schwerts
SKILL_GICHEON	Hilfe des Drachen
SKILL_GIGONG	Chi-Rotation
SKILL_GONGPO	Furcht
SKILL_GRADE_NAME_GRAND_MASTER	%s Großmeister
SKILL_GRADE_NAME_MASTER	%s Meister
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfekter Meister
SKILL_GROUP_ASSASSIN_1	Klinge
SKILL_GROUP_ASSASSIN_2	Bogen
SKILL_GROUP_HORSE	Reitkunst
SKILL_GROUP_SHAMAN_1	Drachen
SKILL_GROUP_SHAMAN_2	Heilung
SKILL_GROUP_SURA_1	Waffen
SKILL_GROUP_SURA_2	Magie
SKILL_GROUP_WARRIOR_1	Körper
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Verzauberte Klinge
SKILL_GYEONGGONG	Federschreiten
SKILL_HEUKSIN	Dunkler Schutz
SKILL_HOSIN	Segen
SKILL_INC_ATKSPD	Angriffsgeschwindigkeit erhöht
SKILL_INC_MOVSPD	Bewegungsgeschwindigkeit erhöht
SKILL_JEOJU	Fluch
SKILL_JEONGEOP	Heilen
SKILL_JEONGWI	Kampfrausch
SKILL_JEONSINBANGEO	Volle Verteidigung
SKILL_JEONSINGONGGYEOK	Voller Angriff
SKILL_JEUNGRYEOK	Angriff +
SKILL_JEUNGSOK	Geschwindigkeit +
SKILL_JUMAGAP	Verzauberte Rüstung
SKILL_KWAESOK	Schnelligkeit
SKILL_MUYEONG	Geist der Flamme
SKILL_NEED_EMPTY_BOTTLE	Ich habe keine leere Flasche.
SKILL_NEED_POISON_BOTTLE	Ich habe keine Giftflasche.
SKILL_ONLY_FOR_GUILD_WAR	Du kannst diese Fertigkeit nur in einem Gildenkrieg einsetzen.
SKILL_PABEOP	Zauber aufheben
SKILL_POWERFUL_STRIKE	Betäubungsangriff
SKILL_SEOMGWANG	Blitzbombe
SKILL_SLEEP	Schlaf
SKILL_SLOW	Langsam
SKILL_STUN	Betäuben
SKILL_SUHO	Wächter
SKILL_SUMMON_DESCRIPTION	Chance der Beschwörung: %d%%
SKILL_TOOLTIP_INT	Intelligenz
SKILL_TOOLTIP_LEVEL	Level
SKILL_TOXICDIE	Vergiftung
SKILL_TOXICPOWER	Giftangriffswert verbessert
SKILL_TUSOK	Geisterschlag
SOUL_ITEM_TOOLTIP_APPLY	Effekt aktiviert
SOUL_ITEM_TOOLTIP_BLUE1	Spielzeit: %d/%d Min. 
SOUL_ITEM_TOOLTIP_BLUE2	Bei Erreichen der Spielzeit erhöht sich der Fertigkeitsschaden um x%.1f
SOUL_ITEM_TOOLTIP_COMMON	Nicht für: PvP, Verwandlung
SOUL_ITEM_TOOLTIP_RED1	Spielzeit: %d/%d Min. 
SOUL_ITEM_TOOLTIP_RED2	Bei Erreichen der Spielzeit erhöht sich der Angriffsschaden um x%.1f
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Verbleibende Angriffe: %d
SOUL_ITEM_TOOLTIP_REMOVE_TIME	Seele erlischt in
SOUL_ITEM_TOOLTIP_UNAPPLIED	Effekt nicht aktiviert
SOUL_REFINE_FAILURE	Entwicklung ist fehlgeschlagen.
SOUL_REFINE_SUCCESS	Entwicklung war erfolgreich!
STAT_MINUS_CON	Vitalitätsanpassung (Verbleibende Chance: %d)
STAT_MINUS_DEX	Beweglichkeitsanpassung (Verbleibende Chance: %d)
STAT_MINUS_INT	Intelligenzanpassung (Verbleibende Chance: %d)
STAT_MINUS_STR	Stärkeanpassung (Verbleibende Chance: %d)
STAT_TOOLTIP_ACTION	Aktionen
STAT_TOOLTIP_ATT	Angriffswert
STAT_TOOLTIP_ATT_SPEED	Angriffsgeschwindigkeit
STAT_TOOLTIP_BASE_LEVEL	Level
STAT_TOOLTIP_CAST_SPEED	Zaubergeschwindigkeit
STAT_TOOLTIP_CON	Erhöht TP und Verteidigung
STAT_TOOLTIP_CONQUEROR_LEVEL	Championlevel
STAT_TOOLTIP_DEF	Verteidigung
STAT_TOOLTIP_DEX	Erhöht Angriff und Ausweichen
STAT_TOOLTIP_DODGE_PER	Chance, Pfeilangriff auszuweichen
STAT_TOOLTIP_EXP	EXP
STAT_TOOLTIP_HP	TP
STAT_TOOLTIP_IMG_CON	VIT: Erhöht TP und Verteidigung
STAT_TOOLTIP_IMG_DEX	DEX: Erhöht Angriff und Ausweichen
STAT_TOOLTIP_IMG_INT	INT: Erhöht MP, Magie-Angriff und -Verteidig.
STAT_TOOLTIP_IMG_STR	STR: Erhöht Angriffswert und Schaden
STAT_TOOLTIP_INT	Erhöht MP, Magie-Angriff und -Verteidig.
STAT_TOOLTIP_LEVEL	Level
STAT_TOOLTIP_MAG_ATT	Magischer Angriffswert
STAT_TOOLTIP_MAG_DEF	Magische Verteidigung
STAT_TOOLTIP_MOVE_SPEED	Bewegungsgeschwindigkeit
STAT_TOOLTIP_PASSIVE	Reliktbonus
STAT_TOOLTIP_POINT	Punkte
STAT_TOOLTIP_REACTION	Reaktionen
STAT_TOOLTIP_SHP	Du erhältst auf Yohara weniger Abzug auf deine maximalen TP.
STAT_TOOLTIP_SIMMUNE	Du erhältst auf Yohara weniger Abzug auf deine Resistenz gegen Statusveränderungen.
STAT_TOOLTIP_SMOVE	Du erhältst auf Yohara weniger Abzug auf deine Bewegungsgeschwindigkeit.
STAT_TOOLTIP_SP	MP
